,rank,year,rating,decade
count,25.0,25.0,25.0,25.0
mean,13.0,1988.44,8.816,1984.4
std,7.359800721939872,18.175257907386072,0.19510680835549216,18.72609587358419
min,1.0,1946.0,8.6,1940.0
25%,7.0,1975.0,8.7,1970.0
50%,13.0,1994.0,8.8,1990.0
75%,19.0,2001.0,9.0,2000.0
max,25.0,2014.0,9.3,2010.0
